Neighborhood,Sale Price Per SqFT,Housing Units,Gross Rent
Union Square District,903.9932576720645,377427.5,2555.1666666666665
Merced Heights,788.8448175872469,380348.0,3414.0
Miraloma Park,779.810842264425,375967.25,2155.25
Pacific Heights,689.5558168113663,378401.0,2817.285714285714
Westwood Park,687.0875745178322,382295.0,3959.0
Telegraph Hill,676.5065775293255,378401.0,2817.285714285714
Presidio Heights,675.3502120510033,378401.0,2817.285714285714
Cow Hollow,665.9640415783227,378401.0,2817.285714285714
Potrero Hill,662.0136128276529,378401.0,2817.285714285714
South Beach,650.1244791945729,375805.0,2099.0
